Date,Station,Duty Window Number,Rank,Fleet,Season,IrOps,Month,Month Number,Weekday,Weekday Number,Duty Window,Pairing Start Count,Multi-Day Pairing Count,INT Pairing Count,Standby Activation Count,Multi-Day Pairing Ratio,INT Pairing Ratio,Activation Rate
11-04-2025,DEL,5,CP,Airbus,0,0,April,4,Friday,4,16-20,46,5,1,4,0.1087,0.0217,0.087
11-04-2025,DEL,5,FO,Airbus,0,0,April,4,Friday,4,16-20,40,6,1,9,0.15,0.025,0.225
11-04-2025,DEL,6,CP,Airbus,0,0,April,4,Friday,4,20-24,26,14,10,1,0.5385,0.3846,0.0385
11-04-2025,DEL,6,FO,Airbus,0,0,April,4,Friday,4,20-24,20,9,10,3,0.45,0.5,0.15
12-04-2025,DEL,1,CP,Airbus,0,0,April,4,Saturday,5,0-4,5,1,0,2,0.2,0,0.4
12-04-2025,DEL,1,FO,Airbus,0,0,April,4,Saturday,5,0-4,7,2,0,1,0.2857,0,0.1429
12-04-2025,DEL,2,CP,Airbus,0,0,April,4,Saturday,5,04-Aug,49,14,4,6,0.2857,0.0816,0.1224
12-04-2025,DEL,2,FO,Airbus,0,0,April,4,Saturday,5,04-Aug,47,12,4,7,0.2553,0.0851,0.1489
12-04-2025,DEL,3,CP,Airbus,0,0,April,4,Saturday,5,08-Dec,39,7,4,6,0.1795,0.1026,0.1538
12-04-2025,DEL,3,FO,Airbus,0,0,April,4,Saturday,5,08-Dec,34,5,4,6,0.1471,0.1176,0.1765
12-04-2025,DEL,4,CP,Airbus,0,0,April,4,Saturday,5,Dec-16,41,10,3,10,0.2439,0.0732,0.2439
12-04-2025,DEL,4,FO,Airbus,0,0,April,4,Saturday,5,Dec-16,36,5,3,17,0.1389,0.0833,0.4722
12-04-2025,DEL,5,CP,Airbus,0,0,April,4,Saturday,5,16-20,43,6,2,7,0.1395,0.0465,0.1628
12-04-2025,DEL,5,FO,Airbus,0,0,April,4,Saturday,5,16-20,36,6,2,14,0.1667,0.0556,0.3889
12-04-2025,DEL,6,CP,Airbus,0,0,April,4,Saturday,5,20-24,33,16,10,5,0.4848,0.303,0.1515
12-04-2025,DEL,6,FO,Airbus,0,0,April,4,Saturday,5,20-24,24,12,10,6,0.5,0.4167,0.25
13-04-2025,DEL,1,CP,Airbus,0,0,April,4,Sunday,6,0-4,6,0,0,3,0,0,0.5
13-04-2025,DEL,1,FO,Airbus,0,0,April,4,Sunday,6,0-4,5,0,0,1,0,0,0.2
13-04-2025,DEL,2,CP,Airbus,0,0,April,4,Sunday,6,04-Aug,51,13,4,9,0.2549,0.0784,0.1765
